,u,v,x,y,z
413,246,1356,733960.0,4051824.5,2621.279541015625
414,2397,1369,733613.75,4051164.75,2573.843994140625
415,912,1455,734016.5,4051644.5,2595.2236328125
416,914,1479,734002.0625,4051638.0,2584.543212890625
417,781,1503,733963.0625,4051665.75,2577.624755859375
418,2595,1546,733536.5,4051123.75,2526.813232421875
419,395,1613,733833.4375,4051718.0,2534.023193359375
420,504,1662,733841.0625,4051691.25,2518.099853515625
421,2634,1664,733484.875,4051120.25,2500.81298828125
422,3905,686,734041.625,4050600.5,2884.600341796875
425,2008,790,734403.5,4051322.5,2927.172607421875
426,2247,826,734203.125,4051213.25,2860.088623046875
427,4384,857,733850.0625,4050531.0,2777.181396484375
428,269,860,734282.1875,4051977.5,2853.9052734375
429,3810,886,733888.75,4050709.5,2770.63134765625
430,408,901,734287.75,4051933.25,2840.509765625
431,203,904,734218.125,4051971.75,2822.851806640625
432,403,914,734273.5,4051928.0,2832.2001953125
434,526,929,734286.4375,4051886.0,2829.759765625
435,536,932,734286.4375,4051886.0,2829.759765625
438,3833,950,733805.625,4050737.75,2731.45166015625
439,4428,957,733791.4375,4050551.25,2732.264892578125
440,464,971,734244.4375,4051893.0,2804.75732421875
441,698,972,734274.0,4051817.75,2811.545166015625
443,935,981,734313.375,4051742.25,2818.312255859375
444,5214,995,733692.3125,4050367.0,2702.38037109375
445,246,996,734167.125,4051931.0,2778.35791015625
446,994,996,734329.625,4051725.0,2815.94140625
447,4459,999,733766.875,4050557.0,2713.1201171875
448,581,1009,734233.0625,4051845.0,2788.011962890625
449,921,1022,734255.1875,4051727.5,2792.10693359375
450,5138,1020,733702.0625,4050386.0,2696.80712890625
451,3727,1029,733747.5,4050792.5,2692.832763671875
452,4559,1040,733741.125,4050540.5,2695.7861328125
453,850,1066,734201.8125,4051735.75,2762.2392578125
454,5049,1067,733701.9375,4050414.5,2683.326904296875
455,4954,1081,733703.875,4050443.0,2678.06787109375
456,263,1124,734084.5,4051883.75,2717.053955078125
457,3357,1127,733688.5625,4050916.25,2650.208984375
458,4934,1143,733618.4375,4050513.0,2642.669189453125
459,3874,1145,733696.0,4050774.5,2651.87890625
460,220,1161,734055.25,4051881.5,2698.072021484375
461,3296,1162,733680.625,4050934.75,2638.942626953125
462,196,1180,734042.5625,4051881.25,2688.82470703125
463,539,1181,734127.8125,4051812.0,2705.705078125
464,247,1184,734047.5,4051868.5,2688.090087890625
465,2158,1238,733782.0,4051228.0,2629.96630859375
466,4057,1339,733558.5625,4050789.25,2580.102783203125
467,242,1354,733960.5625,4051825.25,2621.923095703125
468,922,1427,734030.8125,4051647.75,2605.83447265625
469,189,1544,733859.5,4051790.0,2555.173583984375
470,1363,1588,733575.0625,4051390.5,2522.175048828125
471,3098,1656,733467.75,4051033.0,2505.108154296875
472,2634,1665,733485.0,4051119.75,2500.44189453125
473,361,1707,733770.0,4051696.0,2503.468017578125
474,2264,1713,733475.3125,4051193.5,2488.857666015625
475,1742,1803,733430.4375,4051287.5,2470.400634765625
476,1764,2084,733338.875,4051268.75,2425.353515625
477,1379,2198,733292.8125,4051317.5,2412.014892578125
478,4192,820,733884.75,4050584.0,2798.78271484375
480,237,854,734270.9375,4051988.5,2853.5166015625
481,262,860,734274.4375,4051979.5,2852.501953125
482,279,864,734276.75,4051971.75,2850.3779296875
484,277,881,734257.9375,4051971.25,2842.126953125
485,346,884,734283.625,4051957.0,2846.655517578125
486,358,888,734283.625,4051957.0,2846.655517578125
487,329,898,734267.8125,4051936.75,2832.042236328125
488,421,905,734286.4375,4051929.25,2838.79296875
489,371,910,734267.8125,4051936.75,2832.042236328125
490,428,925,734270.625,4051921.75,2828.697265625
492,480,938,734270.1875,4051893.75,2821.869140625
494,576,941,734285.75,4051868.25,2825.517822265625
497,574,957,734270.375,4051862.0,2815.63427734375
498,889,969,734295.75,4051751.5,2817.724365234375
501,384,989,734218.8125,4051909.25,2792.2626953125
502,4708,989,733769.625,4050473.75,2717.924560546875
504,4702,1006,733759.3125,4050482.0,2711.51953125
505,964,1010,734294.625,4051726.0,2802.95751953125
506,987,1010,734311.75,4051721.0,2805.79833984375
508,2143,1022,734095.8125,4051248.5,2765.200927734375
509,261,1080,734114.75,4051899.0,2736.59765625
510,4940,1082,733705.75,4050448.0,2678.640380859375
511,2992,1084,733730.25,4051005.75,2667.686279296875
512,5103,1084,733684.875,4050411.75,2676.3720703125
513,3255,1108,733704.6875,4050941.5,2657.881591796875
514,3174,1185,733678.9375,4050966.0,2632.604248046875
515,2115,1235,733867.9375,4051241.5,2646.154052734375
516,591,1309,734051.0625,4051762.25,2648.578369140625
517,304,1538,733881.3125,4051769.0,2560.04736328125
518,503,1572,733870.25,4051707.5,2547.324462890625
519,1337,1616,733557.5,4051390.0,2513.396484375
520,511,1647,733845.6875,4051693.75,2523.654052734375
521,3104,1658,733457.25,4051031.75,2498.5888671875
522,483,1706,733823.3125,4051689.0,2504.3798828125
524,1858,739,734515.0,4051397.25,2979.59765625
525,4447,869,733834.0625,4050519.25,2769.35107421875
526,412,907,734284.25,4051930.0,2837.84130859375
529,402,932,734258.9375,4051924.0,2822.43896484375
530,561,940,734282.5,4051868.5,2823.989013671875
531,575,945,734282.5,4051868.5,2823.989013671875
535,4790,1017,733753.75,4050460.0,2706.920654296875
536,664,1032,734223.4375,4051811.0,2778.297119140625
537,4194,764,733910.375,4050559.5,2819.78125
539,502,966,734252.5,4051873.0,2806.738525390625
540,529,971,734252.5,4051873.0,2806.738525390625
