x,y,z,u,v,dist,gsd,visible,change
733654.50,4051497.75,2529.66,971,1570,982.2,0.258,0,gain
733648.50,4051496.75,2529.39,966,1569,976.2,0.257,1,gain
733649.50,4051496.75,2529.45,968,1569,977.2,0.257,1,gain
733648.50,4051495.75,2529.24,971,1570,975.9,0.256,1,gain
733647.50,4051494.75,2528.92,974,1571,974.6,0.256,1,gain
733665.50,4051494.75,2533.11,1001,1559,991.8,0.261,1,gain
733666.50,4051494.75,2533.07,1002,1560,992.8,0.261,0,gain
733643.50,4051493.75,2528.15,972,1573,970.4,0.255,1,gain
733644.50,4051493.75,2528.31,973,1573,971.4,0.255,1,gain
733665.50,4051493.75,2532.89,1005,1560,991.5,0.261,1,gain
733780.50,4051493.75,2560.54,1155,1492,1102.8,0.290,0,gain
733618.50,4051492.75,2522.02,937,1591,946.2,0.249,1,gain
733640.50,4051492.75,2527.62,972,1574,967.2,0.254,1,gain
733641.50,4051492.75,2527.62,973,1575,968.2,0.254,1,gain
733655.50,4051492.75,2530.76,994,1566,981.6,0.258,1,gain
733660.50,4051492.75,2532.15,1002,1562,986.4,0.259,1,gain
733780.50,4051492.75,2560.75,1159,1491,1102.5,0.290,0,gain
733781.50,4051492.75,2560.93,1160,1491,1103.5,0.290,1,gain
733618.50,4051491.75,2521.87,941,1592,945.8,0.249,1,gain
733619.50,4051491.75,2522.42,943,1590,946.8,0.249,1,gain
733637.50,4051491.75,2526.72,971,1577,964.0,0.253,1,gain
733638.50,4051491.75,2527.02,973,1576,965.0,0.254,1,gain
733780.50,4051491.75,2561.22,1162,1489,1102.3,0.290,1,gain
733782.50,4051491.75,2561.87,1165,1488,1104.2,0.290,1,gain
733617.50,4051490.75,2521.22,944,1595,944.5,0.248,1,gain
733634.50,4051490.75,2526.16,971,1579,960.8,0.252,1,gain
733635.50,4051490.75,2526.26,973,1578,961.8,0.253,1,gain
733777.50,4051490.75,2560.64,1163,1491,1099.1,0.289,1,gain
733778.50,4051490.75,2561.02,1164,1489,1100.0,0.289,1,gain
733616.50,4051489.75,2520.78,947,1596,943.2,0.248,1,gain
733617.50,4051489.75,2521.13,949,1595,944.2,0.248,1,gain
733619.50,4051489.75,2522.23,952,1591,946.1,0.249,1,gain
733632.50,4051489.75,2525.52,972,1581,958.6,0.252,1,gain
733633.50,4051489.75,2525.85,974,1580,959.5,0.252,1,gain
733634.50,4051489.75,2526.16,975,1579,960.5,0.252,1,gain
733657.50,4051489.75,2531.18,1010,1565,982.5,0.258,1,gain
733594.50,4051488.75,2509.05,916,1642,921.5,0.242,1,gain
733595.50,4051488.75,2509.79,917,1639,922.5,0.242,1,gain
733616.50,4051488.75,2520.58,952,1597,942.9,0.248,1,gain
733617.50,4051488.75,2520.91,953,1596,943.8,0.248,1,gain
733618.50,4051488.75,2521.69,955,1593,944.8,0.248,1,gain
733631.50,4051488.75,2525.06,975,1582,957.3,0.252,1,gain
733632.50,4051488.75,2525.37,977,1581,958.2,0.252,1,gain
733614.50,4051487.75,2519.24,953,1603,940.6,0.247,1,gain
733618.50,4051487.75,2521.42,959,1594,944.5,0.248,1,gain
733619.50,4051487.75,2521.80,961,1593,945.4,0.248,1,gain
733620.50,4051487.75,2522.18,962,1591,946.4,0.249,1,gain
733621.50,4051487.75,2522.18,964,1592,947.3,0.249,1,gain
733623.50,4051487.75,2523.06,967,1589,949.3,0.249,1,gain
733626.50,4051487.75,2524.07,972,1585,952.2,0.250,1,gain
733628.50,4051487.75,2524.52,975,1584,954.1,0.251,1,gain
733629.50,4051487.75,2524.79,977,1583,955.0,0.251,1,gain
733630.50,4051487.75,2524.94,978,1583,956.0,0.251,1,gain
