"variant","predictor","x","yhat"
"primary","TPI",-0.0063466506078839,0.17274822013357
"primary","northness",0.0224652246882518,0.17643532661964
"primary","TPI",0.0227584494277835,0.17274046725407
"primary","TPI",0.0536920157571633,0.172810489754621
"primary","northness",0.075976881633202,0.176173050276651
"primary","TPI",0.0869195751845836,0.172822513338072
"primary","TPI",0.119735372066498,0.172847553224132
"primary","northness",0.131834533810616,0.176029258115055
"primary","TPI",0.150860226651033,0.172864451969902
"primary","northness",0.181436950465043,0.175909042410738
"primary","TPI",0.182992642124494,0.172875831212554
"primary","TPI",0.217845679819584,0.172865836498649
"primary","northness",0.227001370986303,0.17568533436877
"primary","eastness",0.234974524378777,0.16487357068621
"primary","slope",0.238248988986015,0.224011246572988
"primary","TPI",0.260155516862869,0.17287080980674
"primary","northness",0.28178608417511,0.174073148521897
"primary","TPI",0.314014428853989,0.173312702335342
"primary","northness",0.330171712239583,0.173475780643305
"primary","TPI",0.381444472074509,0.173248298367854
"primary","northness",0.385028701027234,0.169837399831588
"primary","northness",0.434702324867249,0.168388088121888
"primary","TPI",0.462472642461459,0.173233071309916
"primary","northness",0.482338423530261,0.163693608749872
"primary","northness",0.534055908521016,0.163136777026644
"primary","TPI",0.546465253829957,0.172529223053304
"primary","northness",0.578591376543045,0.162631824049794
"primary","northness",0.631533320744832,0.155572056160653
"primary","northness",0.678241272767385,0.154949193033265
"primary","TPI",0.68725266456604,0.170735082097
"primary","northness",0.735575330257416,0.15425731111546
"primary","northness",0.789756089448929,0.153563447208821
"primary","northness",0.839807367324829,0.152857725250386
"primary","TPI",0.857647442817688,0.169641791719482
"primary","northness",0.888367980718613,0.152880030672588
"primary","northness",0.939060958226522,0.155064653362945
"primary","northness",0.97816797097524,0.156758238696742
"primary","eastness",0.996360421180725,0.180383773126874
"primary","northness",0.999938011169434,0.15766857874304
"primary","TPI",1.11881397565206,0.168081880937191
"primary","twi",2.28284621238708,0.167440183079984
"primary","twi",3.1293510834376,0.172413688304994
"primary","twi",3.37506930033366,0.174115993869543
"primary","twi",3.58485696315765,0.175459021645118
"primary","twi",3.73640077908834,0.176384136376061
"primary","TPI",3.76754426956177,0.154319113205672
"primary","twi",3.86328426996867,0.177104381785629
"primary","twi",4.01719446182251,0.177329074999383
"primary","twi",4.13866985638936,0.176470016067602
"primary","twi",4.25026082992554,0.175532443985444
"primary","twi",4.36602177619934,0.174597390074687
"primary","twi",4.46483771006266,0.173933086320844
"primary","twi",4.58322849273682,0.172893351526762
"primary","twi",4.70692434310913,0.171988709213225
"primary","twi",4.82076517740885,0.171124962920598
"primary","twi",4.95391645431519,0.169985898757546
"primary","twi",5.10682845115662,0.169217225597453
"primary","twi",5.24555600484212,0.169298763874753
"primary","twi",5.39124280611674,0.169585908998977
"primary","twi",5.53386173248291,0.170118816477881
"primary","twi",5.67135670979818,0.170435424158305
"primary","twi",5.83074061075846,0.170696228660177
"primary","twi",5.98736238479614,0.170584328510619
"primary","twi",6.14644997914632,0.17099608608188
"primary","twi",6.29800343513489,0.171224873006459
"primary","twi",6.48220806121826,0.171528273898222
"primary","twi",6.73968505859375,0.170655904903197
"primary","twi",7.01339728037516,0.16710738718172
"primary","twi",7.33153285980225,0.165728183328548
"primary","twi",7.7430495262146,0.163801792700643
"primary","twi",8.42735945383708,0.160710650919755
"primary","twi",11.5761442184448,0.162620391055
"primary","slope",13.0260490099589,0.199782947177138
"primary","slope",15.9748831431071,0.195660198590152
"primary","slope",18.0308881759644,0.194081598971888
"primary","slope",19.6550577799479,0.194093791480026
"primary","slope",20.919519106547,0.194128876127463
"primary","slope",22.0030704498291,0.194006946487033
"primary","slope",23.094579188029,0.194056159467251
"primary","slope",24.0639232635498,0.193198466262583
"primary","slope",25.057017326355,0.188993339810854
"primary","slope",26.0039850870768,0.176204179749677
"primary","slope",26.9282240549723,0.173807505385088
"primary","slope",27.9295150756836,0.170874364015826
"primary","slope",28.9311526616414,0.168357522954422
"primary","slope",30.0315519968669,0.16053913681111
"primary","slope",30.8953294754028,0.154588945523213
"primary","slope",31.6989966074626,0.148107771100581
"primary","slope",32.569421895345,0.140096283380215
"primary","slope",33.4789588928223,0.133501322157592
"primary","slope",34.175979868571,0.131893507697122
"primary","slope",34.9394162495931,0.125499735809549
"primary","slope",35.6000408172607,0.124162745826343
"primary","slope",36.2957481384277,0.12281872914654
"primary","slope",36.9740580240885,0.121461781082992
"primary","slope",37.7294303894043,0.119997110969905
"primary","slope",38.6028448740641,0.11499711191296
"primary","slope",39.7773150126139,0.113143365637674
"primary","slope",41.1743114471436,0.110326769850566
"primary","slope",43.3467005411784,0.105453545058767
"primary","slope",46.3588476816813,0.102329174104588
"primary","slope",62.0685234069824,0.0937203556901056
"primary","snow_mean",110.699996948242,0.0830346974166543
"primary","snow_mean",124.099998474121,0.0843163051009334
"primary","snow_mean",126.599998474121,0.0849285759441056
"primary","snow_mean",129.100006103516,0.0857865377430722
"primary","snow_mean",132.399993896484,0.0874591318327997
"primary","snow_mean",136.416661580404,0.0907804339385223
"primary","snow_mean",141,0.0974814961291095
"primary","snow_mean",146.243332926432,0.120302918060435
"primary","snow_mean",151.406660970052,0.224469554705712
"primary","snow_mean",157.300003051758,0.23115739082758
"primary","snow_mean",162.300003051758,0.235607912105105
"primary","snow_mean",166.396660868327,0.238157681850897
"primary","snow_mean",169.660000610352,0.240068276408705
"primary","snow_mean",172.199996948242,0.240911075732271
