"dist12","p9_k3","p9_k5","p9_k10","p9_logdist","slope","elevation","TPI","twi","northness","eastness","snow_mean"
195,0.000356224820877738,0.000138636774144748,0.000342757878285816,0.00024037229970735,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
200,0.000287741461720469,0.000155232721139205,0.000259799761040159,0.000238444994377552,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
205,0.00023384414573,0.000175488621998033,0.000195458510298702,0.000237092398632905,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
210,0.000191239106845581,0.00020003378438491,0.000147138000974856,0.000236274720202277,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
215,0.000157409837993088,0.000229586156949026,0.000111726851833571,0.00023595765665636,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
220,0.000130427529468159,0.000264941259513303,8.62528143678525e-05,0.000236111656256507,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
225,0.000108808948880241,0.000306948841926941,6.8202709888591e-05,0.000236711289940421,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
230,9.14096531270046e-05,0.000356472795808575,5.56138516937289e-05,0.000237734716509755,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
235,7.73435592158267e-05,0.000414329720857062,4.70411482866682e-05,0.000239163226061032,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
240,6.59222172242502e-05,0.000481202220569463,4.14751027186295e-05,0.000240980849186466,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
245,5.66088403496096e-05,0.000557524888722698,3.8254821993207e-05,0.000243174021844308,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
250,4.89834127427994e-05,0.000643344447059473,3.69973184430417e-05,0.000245731296847572,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
255,4.2716132806543e-05,0.00073816084434833,3.75510622836486e-05,0.000248643095263296,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
260,3.75471441691962e-05,0.000840763205633387,3.99754709706143e-05,0.00025190149128521,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
265,3.32710221234988e-05,0.000949082620935552,4.45456846016159e-05,0.00025550002572599,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
270,2.97248667044974e-05,0.0010600914229008,5.17808327656548e-05,0.00025943354390651,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
275,2.6779139205608e-05,0.00116978359671489,6.24915717094078e-05,0.000263698054275452,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
280,2.43305921717586e-05,0.00127327057673775,7.78363563963387e-05,0.000268290604803731,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
285,2.22968024719039e-05,0.00136501834798225,9.93629447516502e-05,0.000273209174610195,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
290,2.06119367600127e-05,0.0014392340434976,0.000128990264002042,0.000278452578664477,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
295,1.92234687161865e-05,0.00149038385568237,0.000168858621074677,0.000284020383743675,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
300,1.80896354975253e-05,0.00151379277297808,0.000220955984736232,0.000289912834096624,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
305,1.71774724572094e-05,0.00150624709666451,0.000286442558529272,0.000296130785497694,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
310,1.64613046129414e-05,0.00146650140599431,0.00036468402298305,0.00030267564652281,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
315,1.59216037275774e-05,0.00139559066670029,0.000452189895051194,0.00030954932615649,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
320,1.55441435926367e-05,0.0012968701857649,0.000541897431824325,0.000316754186924308,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
325,1.53194050169261e-05,0.00117574984886494,0.000623398027450753,0.000324293002674751,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
330,1.52421975562127e-05,0.00103914639606291,0.000684559366341937,0.000332168920599703,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
335,1.53114783576141e-05,0.000894734761728392,0.000714437092420713,0.000340385426955232,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
340,1.55303606388979e-05,0.000750121422027812,0.000706581560000124,0.000348946315784451,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
345,1.59063162130933e-05,0.000612077265740369,0.00066133227380895,0.000357855660708455,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
350,1.64515890429368e-05,0.00048595040214578,0.000585941752398206,0.000367117788920702,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
