blind_id,sample_id,stratum,cls2012,cls2021,x,y,z,row,col,u,v,annotated_figure,native_crop
B020,loss_to_dwarfpine_29,loss_to_dwarfpine,1,7,733324.5,4051316.75,2425.669921875,752,580,1434.0181995274356,2094.7771924222993,crops/loss_to_dwarfpine_29.png,crops_native/loss_to_dwarfpine_29_native.png
B021,loss_to_maple_03,loss_to_maple,1,5,733267.5,4051189.75,2399.489990234375,879,523,2267.0443529314994,2299.683340886556,crops/loss_to_maple_03.png,crops_native/loss_to_maple_03_native.png
B022,loss_to_otherveg_25,loss_to_otherveg,1,2,733130.5,4051251.75,2364.18994140625,817,386,1644.8030143954206,2800.876567265209,crops/loss_to_otherveg_25.png,crops_native/loss_to_otherveg_25_native.png
B023,control_stable_sasa_12,control_stable_sasa,1,1,733476.5,4051048.75,2510.889892578125,1020,732,2999.265476750513,1604.578580699502,crops/control_stable_sasa_12.png,crops_native/control_stable_sasa_12_native.png
B024,loss_to_otherveg_16,loss_to_otherveg,1,2,733485.5,4051474.75,2469.580078125,594,741,794.2400595346066,1821.0449892727884,crops/loss_to_otherveg_16.png,crops_native/loss_to_otherveg_16_native.png
B025,control_stable_sasa_11,control_stable_sasa,1,1,733078.5,4050993.75,2440.550048828125,1075,334,4267.9168718812625,2056.642289643592,crops/control_stable_sasa_11.png,crops_native/control_stable_sasa_11_native.png
B026,loss_to_otherveg_06,loss_to_otherveg,1,2,733522.5,4051251.75,2518.56005859375,817,778,1980.4834401225244,1578.7180812398667,crops/loss_to_otherveg_06.png,crops_native/loss_to_otherveg_06_native.png
B027,loss_to_otherveg_07,loss_to_otherveg,1,2,733182.5,4051374.75,2394.360107421875,694,438,632.521148052826,2447.9400862466296,crops/loss_to_otherveg_07.png,crops_native/loss_to_otherveg_07_native.png
B028,control_stable_sasa_17,control_stable_sasa,1,1,733331.5,4050948.75,2472.14990234375,1120,587,3750.2042854143565,1784.8588218495506,crops/control_stable_sasa_17.png,crops_native/control_stable_sasa_17_native.png
B029,loss_to_otherveg_17,loss_to_otherveg,1,2,733101.5,4051022.75,2435.389892578125,1046,357,3892.4322621839874,2098.448202157141,crops/loss_to_otherveg_17.png,crops_native/loss_to_otherveg_17_native.png
