blind_id,blind_image,dist,m_per_px_horiz,m2_per_px,align_shift_px,quality_ok,verdict,confidence,notes
B057,blind/B057.png,750.383,0.196,nan,0.000,yes,,,
B058,blind/B058.png,237.749,0.062,nan,1.414,yes,,,
B059,blind/B059.png,504.835,0.132,nan,1.000,yes,,,
B060,blind/B060.png,869.698,0.227,0.125,1.000,yes,,,
B061,blind/B061.png,577.290,0.150,nan,1.000,yes,,,
B062,blind/B062.png,501.272,0.131,0.188,1.000,yes,,,
B063,blind/B063.png,747.143,0.195,nan,1.000,yes,,,
B064,blind/B064.png,781.370,0.204,0.938,1.000,yes,,,
B065,blind/B065.png,834.348,0.217,nan,1.000,yes,,,
B066,blind/B066.png,103.588,0.027,nan,9.434,no,,,
B067,blind/B067.png,535.346,0.140,0.125,1.414,yes,,,
B068,blind/B068.png,922.111,0.240,0.062,0.000,yes,,,
B069,blind/B069.png,446.578,0.116,0.125,1.414,yes,,,
B070,blind/B070.png,827.062,0.216,0.562,1.000,yes,,,
B071,blind/B071.png,672.594,0.175,0.188,1.000,yes,,,
B072,blind/B072.png,453.327,0.118,0.125,1.000,yes,,,
B073,blind/B073.png,350.796,0.091,nan,0.000,yes,,,
B074,blind/B074.png,783.879,0.204,0.188,1.000,yes,,,
B075,blind/B075.png,795.239,0.207,nan,0.000,yes,,,
B076,blind/B076.png,786.718,0.205,0.188,0.000,yes,,,
B077,blind/B077.png,746.845,0.195,0.125,1.000,yes,,,
B078,blind/B078.png,770.178,0.201,0.250,1.000,yes,,,
B079,blind/B079.png,746.668,0.195,0.250,1.414,yes,,,
B080,blind/B080.png,930.983,0.243,1.438,0.000,yes,,,
B081,blind/B081.png,424.758,0.111,0.125,1.000,yes,,,
B082,blind/B082.png,359.649,0.094,nan,1.000,yes,,,
B083,blind/B083.png,745.720,0.194,nan,1.000,yes,,,
B084,blind/B084.png,686.829,0.179,nan,1.000,yes,,,
B085,blind/B085.png,878.574,0.229,0.062,0.000,yes,,,
B086,blind/B086.png,785.678,0.205,0.312,0.000,yes,,,
B087,blind/B087.png,520.875,0.136,nan,1.000,yes,,,
B088,blind/B088.png,531.430,0.139,0.062,1.000,yes,,,
B089,blind/B089.png,680.887,0.177,0.062,0.000,yes,,,
B090,blind/B090.png,568.595,0.148,0.062,1.000,yes,,,
B091,blind/B091.png,697.774,0.182,nan,0.000,yes,,,
B092,blind/B092.png,365.171,0.095,0.125,1.000,yes,,,
B093,blind/B093.png,509.067,0.133,nan,1.000,yes,,,
B094,blind/B094.png,601.636,0.157,nan,0.000,yes,,,
B095,blind/B095.png,476.366,0.124,nan,2.000,yes,,,
B096,blind/B096.png,940.772,0.245,0.250,1.000,yes,,,
B097,blind/B097.png,430.344,0.112,0.062,1.000,yes,,,
B098,blind/B098.png,902.676,0.235,0.125,1.414,yes,,,
B099,blind/B099.png,387.618,0.101,0.062,0.000,yes,,,
B100,blind/B100.png,756.696,0.197,0.062,1.000,yes,,,
B101,blind/B101.png,771.597,0.201,nan,0.000,yes,,,
B102,blind/B102.png,916.362,0.239,0.500,0.000,yes,,,
B103,blind/B103.png,765.877,0.200,nan,0.000,yes,,,
B104,blind/B104.png,239.500,0.062,0.125,1.414,yes,,,
B105,blind/B105.png,557.807,0.145,nan,0.000,yes,,,
B106,blind/B106.png,695.792,0.181,nan,1.000,yes,,,
B107,blind/B107.png,778.989,0.203,0.188,0.000,yes,,,
B108,blind/B108.png,422.237,0.110,nan,1.414,yes,,,
B109,blind/B109.png,362.374,0.094,0.062,1.000,yes,,,
B110,blind/B110.png,757.987,0.198,0.188,0.000,yes,,,
B111,blind/B111.png,841.116,0.219,nan,0.000,yes,,,
B112,blind/B112.png,696.335,0.182,0.250,0.000,yes,,,
B113,blind/B113.png,484.424,0.126,0.188,3.606,no,,,
B114,blind/B114.png,513.271,0.134,0.125,0.000,yes,,,
B115,blind/B115.png,692.212,0.180,0.125,0.000,yes,,,
B116,blind/B116.png,522.658,0.136,0.062,0.000,yes,,,
B117,blind/B117.png,659.737,0.172,nan,0.000,yes,,,
B118,blind/B118.png,551.087,0.144,0.125,1.000,yes,,,
B119,blind/B119.png,892.768,0.233,0.250,0.000,yes,,,
B120,blind/B120.png,640.169,0.167,0.062,1.000,yes,,,
B121,blind/B121.png,609.153,0.159,0.375,1.000,yes,,,
B122,blind/B122.png,807.942,0.211,0.125,1.000,yes,,,
B123,blind/B123.png,514.509,0.134,0.188,2.236,no,,,
B124,blind/B124.png,486.441,0.127,0.062,1.000,yes,,,
B125,blind/B125.png,371.071,0.097,0.125,0.000,yes,,,
B126,blind/B126.png,372.741,0.097,0.125,0.000,yes,,,
B127,blind/B127.png,497.038,0.130,0.125,1.000,yes,,,
B128,blind/B128.png,467.425,0.122,nan,1.000,yes,,,
B129,blind/B129.png,767.484,0.200,0.312,1.414,yes,,,
