blind_id,blind_image,dist,m_per_px_horiz,m2_per_px,align_shift_px,quality_ok,verdict,confidence,notes
B024,blind/B024.png,806.512,0.210,0.188,1.000,yes,boundary_jitter,high,
B025,blind/B025.png,391.497,0.102,nan,1.000,yes,sasa_loss,low,
B026,blind/B026.png,793.179,0.207,nan,1.000,yes,boundary_jitter,high,
B027,blind/B027.png,492.495,0.128,0.062,0.000,yes,boundary_jitter,high,
B028,blind/B028.png,640.169,0.167,0.062,1.000,yes,canopy_overgrowth,medium,
B029,blind/B029.png,399.825,0.104,0.062,1.000,yes,boundary_jitter,medium,
B030,blind/B030.png,611.144,0.159,0.188,0.000,yes,canopy_overgrowth,medium,
B031,blind/B031.png,739.104,0.193,nan,1.000,yes,boundary_jitter,low,
B032,blind/B032.png,625.675,0.163,0.312,1.414,yes,boundary_jitter,medium,
B033,blind/B033.png,589.490,0.154,nan,1.000,yes,undecidable,,
B034,blind/B034.png,795.035,0.207,nan,0.000,yes,sasa_loss,low,
B035,blind/B035.png,512.245,0.134,nan,1.000,yes,sasa_loss,low,
B036,blind/B036.png,765.773,0.200,0.250,0.000,yes,boundary_jitter,low,
B037,blind/B037.png,829.098,0.216,nan,0.000,yes,boundary_jitter,low,
B038,blind/B038.png,688.471,0.179,0.375,1.000,yes,boundary_jitter,medium,
B039,blind/B039.png,748.775,0.195,0.125,1.000,yes,boundary_jitter,medium,
B040,blind/B040.png,620.449,0.162,nan,18.358,no,boundary_jitter,low,
B041,blind/B041.png,523.921,0.137,0.062,1.414,yes,boundary_jitter,low,
B042,blind/B042.png,818.323,0.213,0.312,1.000,yes,boundary_jitter,low,
B043,blind/B043.png,362.904,0.095,nan,0.000,yes,boundary_jitter,low,
B044,blind/B044.png,687.296,0.179,nan,1.000,yes,sasa_loss,medium,
B045,blind/B045.png,607.121,0.158,0.125,1.000,yes,boundary_jitter,low,
B046,blind/B046.png,544.733,0.142,0.188,1.000,yes,boundary_jitter,low,
B047,blind/B047.png,651.343,0.170,nan,1.000,yes,boundary_jitter,,
B048,blind/B048.png,816.586,0.213,0.688,1.000,yes,undecidable,,
